"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "JavaScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\analytics\TestCompletionRates.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 4, 49
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\analytics\TopStudentsTable.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 4, 81
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\auth\ProtectedRoute.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 8, 33
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\charts\NewUsersChart.js", "JavaScript", 0, 233, 0, 0, 0, 0, 0, 6, 23, 262
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\charts\UserActivityChart.js", "JavaScript", 0, 218, 0, 0, 0, 0, 0, 5, 16, 239
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\charts\UserGrowthChart.js", "JavaScript", 0, 252, 0, 0, 0, 0, 0, 7, 21, 280
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\layout\DashboardLayout.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\layout\Navbar.js", "JavaScript", 0, 133, 0, 0, 0, 0, 0, 3, 14, 150
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\layout\Sidebar.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 2, 9, 171
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\results\ResultsFilters.js", "JavaScript", 0, 51, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\results\ResultsStatsCards.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 1, 5, 77
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\results\ResultsTable.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\results\ScoreDistributionChart.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 1, 6, 62
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\settings\NotificationsTab.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\settings\PreferencesTab.js", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 0, 11, 112
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\settings\ProfileTab.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 8, 99
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\settings\SecurityTab.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 1, 12, 109
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\settings\SettingsTabs.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\tests\TestActions.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\tests\TestsFilters.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 7, 88
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\tests\TestsStatsCards.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 1, 5, 77
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\tests\TestsTable.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\khoad\texxxttt\toeic-practice-admin\src\components\ui\DataTable.js", "JavaScript", 0, 194, 0, 0, 0, 0, 0, 3, 14, 211
